MSA,MSA_ID,largest_city,in_center_city,total_commuters_2018,main_city_commuters_2018,suburban_commuters_2018,outside_msa_commuters_2018,total_commuters_2011,main_city_commuters_2011,suburban_commuters_2011,outside_msa_commuters_2011,city_commuter_rate_2018,city_commuter_rate_2011,suburban_commuter_rate_2018,suburban_commuter_rate_2011,outside_msa_commuter_rate_2018,outside_msa_commuter_rate_2011
"Tallahassee, FL",45220,Tallahassee,FALSE,78262,46839,22744,8679,73905,47722,21134,5049,0.5984896884822775,0.645720857858061,0.2906135800260663,0.2859617075975915,0.11089673149165623,0.06831743454434747
"Tallahassee, FL",45220,Tallahassee,TRUE,57840,41356,9553,6931,51278,38437,7488,5353,0.7150069156293223,0.7495807168766333,0.1651625172890733,0.14602753617535785,0.11983056708160443,0.10439174694800889
"Tampa-St. Petersburg-Clearwater, FL",45300,Tampa,FALSE,1055772,187363,672022,196387,878041,166645,559433,151963,0.17746539972645609,0.1897918206552997,0.6365219005618638,0.637137673525496,0.18601269971168016,0.17307050581920433
"Tampa-St. Petersburg-Clearwater, FL",45300,Tampa,TRUE,153844,65642,61208,26994,125664,57428,45103,23133,0.42667897350562906,0.4569964349376114,0.3978575700059801,0.3589174306086071,0.17546345648839085,0.18408613445378152
"Toledo, OH",45780,Toledo,FALSE,127042,36675,73068,17299,116123,34484,64909,16730,0.28868405724091245,0.29696098102873675,0.5751483761275799,0.5589676463749644,0.1361675666315077,0.14407137259629876
"Toledo, OH",45780,Toledo,TRUE,99790,48811,35623,15356,90995,47877,29541,13577,0.4891371880949995,0.5261497884499148,0.35697965728028863,0.3246442112203967,0.1538831546247119,0.14920600032968845
"Trenton, NJ",45940,Trenton,FALSE,126956,13252,45449,68255,121604,8807,51984,60813,0.10438262075049623,0.07242360448669452,0.3579901698226157,0.427485937962567,0.537627209426888,0.5000904575507384
"Trenton, NJ",45940,Trenton,TRUE,30394,5984,8241,16169,25810,5140,8838,11832,0.1968809633480292,0.19914761720263463,0.27113904060011845,0.3424254165052305,0.5319799960518523,0.4584269662921348
"Tucson, AZ",46060,Tucson,FALSE,156443,69197,53878,33368,148585,70236,49338,29011,0.4423144531874229,0.47269912844499784,0.3443938047723452,0.3320523606016758,0.2132917420402319,0.19524851095332638
"Tucson, AZ",46060,Tucson,TRUE,166288,98678,32834,34776,148870,96009,29337,23524,0.593416241701145,0.6449183851682676,0.19745261233522562,0.19706455296567474,0.20913114596362936,0.15801706186605763
